"sku","description","title","price","weight(kg)","inactive","sale_price","product_discount","product_type","quantity"
1121,"Sheridan Beach Towels - Cavavelle","Sheridan Beach Towels - Cavavelle",59.95,1.5,1,"NULL","NULL","Physical",10
1122,"Mohair Plaid Rug - Artic","Mohair Plaid Rug - Artic",312,2,0,"NULL","NULL","Physical",10
1123,"Mohair Plaid Rug - Berry","Mohair Plaid Rug - Berry",310,2,0,"NULL","NULL","Physical",10
1124,"New Zealand Made Windermere Mohair Plaid Throw- Horizon","New Zealand Made Windermere Mohair Plaid Throw - Horizon",312,2,0,"NULL","NULL","Physical",10
1125,"Mohair Plaid Rug - Picasso","Mohair Plaid Rug - Picasso",310,2,0,"NULL","NULL","Physical",10
1126,"Sheridan Luxury Eqyptian Towel Gift Set","Sheridan Luxury Eqyptian Towel Gift Set",109.95,2,1,"NULL","NULL","Physical",10
1128,"Eden 100% Cotton Sheet Sets","Eden 100% Cotton Sheet Sets",110,1.5,1,"NULL","NULL","Physical",10
1137,"Merino/Cashmere Throws","Merino/Cashmere Throws",195,2,1,"NULL","NULL","Physical",10
1138,"Merino/Cashmere - Cushions","Merino/Cashmere - Cushions",80,1.5,1,"NULL","NULL","Physical",10
1139,"Ultrafine Merino Diamond Jacquard Throws","Ultra Merino Diamond Jacquard Throws",205,2.5,1,"NULL","NULL","Physical",10
1140,"Ultra Merino Diamond Jacquard Cushion","Ultra Merino Diamond Jacquard Cushion",90,1.5,0,"NULL","NULL","Physical",10
1141,,"Merino/Cashmere Throw - Ginko",195,,0,"NULL","NULL","Physical",10
1142,"Merino/Cashmere Throw - Putty","Merino/Cashmere Throw - Putty",195,2.5,0,"NULL","NULL","Physical",10
1143,"Merino/Cashmere Throw - Mocha","Merino/Cashmere Throw - Mocha",195,2.5,0,"NULL","NULL","Physical",10
1146,"A grade Mulberry Silk Floss inside and constructed like a fitted sheet.","Silk Filled Mattress Underlay / Topper",468,5,0,"NULL","NULL","Physical",10
1147,"Top Drawer Flanellette Sheet","Top Drawer Flanellette Sheet",0,,0,"NULL","NULL","Physical",10
1152,"Quality Flannelette Sheet Sets","Quality Flannelette Sheet Sets",86,2.5,0,"NULL","NULL","Physical",10
1154,"Protect A Bed - Mattress Protector","Protect A Bed - Mattress Protector",0,2,0,"NULL","NULL","Physical",10
1158,"The mattress topper gently cradles and supports your body as you sink into its plush filling and adjusts to your body heat to maintain a comfortable sleeping temperature all year round.","Fairydown Dreamseeker Feather and Down Mattress Topper",519,5,0,"NULL","NULL","Physical",10
1161,"New Zealand Brushtail Possum Premium Fur Throw","New Zealand Brushtail Possum Premium Fur Throw",2200,6,0,"NULL","NULL","Physical",10
1162,"New Zealand Brushtail Possum Premium Fur Cushion","New Zealand Brushtail Possum Premium Fur Cushion",250,2,0,"NULL","NULL","Physical",10
1163,"New Zealand Brushtail Possum Premium Fur Throw - Natural Brown","New Zealand Brushtail Possum Premium Fur Throw - Natural Brown",2047,6,0,"NULL","NULL","Physical",10
1165,"Merino/Cashmere - Cushions","Merino/Cashmere - Cushions",80,1.5,0,"NULL","NULL","Physical",10
1166,"Ultra Merino Diamond Jacquard Cushion","Ultra Merino Diamond Jacquard Cushion",90,1.5,0,"NULL","NULL","Physical",10
1167,"Avignon Bath Mat","Avignon Bath Mat",80,1,1,"NULL","NULL","Physical",10
1168,"Red Table Cloth","Red Table Cloth",65,2,1,"NULL","NULL","Physical",10
1169,"White Table Cloth","White Table Cloth",52,2,1,"NULL","NULL","Physical",10
1171,"White Table Cloth","White Table Cloth",106,2,1,"NULL","NULL","Physical",10
1172,"Tapas Napkin","Tapas Napkin",14,1,1,"NULL","NULL","Physical",10
1174,"Linens & More Arazo Matelasse Bedspread","Linens & More Arazo Matelasse Bedspread",92,3.5,1,"NULL","NULL","Physical",10
1175,"Arazo Matelasse Pillowsham","Arazo Matelasse Pillowsham",74,1,1,"NULL","NULL","Physical",10
1177,"Barcelona Ruby - Duvet Cover","Barcelona Ruby - Duvet Cover",259.95,3,1,"NULL","NULL","Physical",10
1183,"Plush Velour Beach Towels - Tulum","Plush Velour Beach Towels - Tulum",74.95,1.5,1,"NULL","NULL","Physical",10
1184,"Plush Velour Beach Towels - Pacifica","Plush Velour Beach Towels - Pacifica",54.95,1.5,1,"NULL","NULL","Physical",10
1185,"Plush Velour Beach Towels - Alara","Plush Velour Beach Towels - Alara",74.95,1.5,1,"NULL","NULL","Physical",10
1186,"Plush Velour Beach Towels - Baymont","Plush Velour Beach Towels - Baymont",54.95,1.5,1,"NULL","NULL","Physical",10
1187,"Bianca Lorenne - Fleurette Comforter","Bianca Lorenne - Fleurette Comforter",349.99,2.5,0,"NULL","NULL","Physical",10
1188,"Bianca Lorenne - Eden Ocean Pillowcases","Bianca Lorenne - Eden Ocean Pillowcases",46,1,1,"NULL","NULL","Physical",10
1191,"Private Collection - Cascade Mist Duvet Cover","Private Collection - Cascade Mist Duvet Cover",290,3,1,"NULL","NULL","Physical",10
1193,"Baksana Summer Duvet Set","Baksana Summer Duvet Set",100,3,1,"NULL","NULL","Physical",10
1194,"Private Collection - Petra Amethyst Duvet Cover","Private Collection - Petra Amethyst Duvet Cover",260,2.5,0,"NULL","NULL","Physical",10
1196,"Sheridan - Anouska Duvet Set","Sheridan - Anouska Duvet Set",370,3,1,"NULL","NULL","Physical",10
1197,"Bianca Lorenne - Rosetta Rouge Comforter and Cushion","Bianca Lorenne - Rosetta Rouge Comforter and Cushion",130,3.5,1,"NULL","NULL","Physical",10
