Date,Market,Company Name,Symbol,Price,Volume
2019-02-26,NYSE,Berkshire Hathaway Inc.,BRK,302500,200
2019-02-26,NYSE,Johnson & Johnson,JNJ,136.11,5106900
2019-02-27,NASDAQ,Apple Inc.,AAPL,43.72,111341600
2019-02-27,NASDAQ,Microsoft Corporation,MSFT,112.17,21487100
2019-02-27,NYSE,Berkshire Hathaway Inc.,BRK,303000,300
2019-02-27,NYSE,Johnson & Johnson,JNJ,135.87,4378100
2019-02-28,NASDAQ,Apple Inc.,AAPL,43.29,112861600
2019-02-28,NASDAQ,Microsoft Corporation,MSFT,112.03,29083900
2019-02-28,NYSE,Berkshire Hathaway Inc.,BRK,302200,200
2019-02-28,NYSE,Johnson & Johnson,JNJ,136.64,10133200
2019-03-01,NASDAQ,Apple Inc.,AAPL,43.74,103544800
2019-03-01,NASDAQ,Microsoft Corporation,MSFT,112.53,23501200
2019-03-01,NYSE,Berkshire Hathaway Inc.,BRK,304860,200
2019-03-01,NYSE,Johnson & Johnson,JNJ,138.35,5641600
2019-03-04,NASDAQ,Apple Inc.,AAPL,43.96,109744800
2019-03-04,NASDAQ,Microsoft Corporation,MSFT,112.26,26608000
2019-03-04,NYSE,Berkshire Hathaway Inc.,BRK,303400,300
2019-03-04,NYSE,Johnson & Johnson,JNJ,138.48,8377700
2019-03-05,NASDAQ,Apple Inc.,AAPL,43.88,78949600
2019-03-05,NASDAQ,Microsoft Corporation,MSFT,111.7,19538300
2019-03-05,NYSE,Berkshire Hathaway Inc.,BRK,302600,200
2019-03-05,NYSE,Johnson & Johnson,JNJ,138.77,6568900
2019-03-06,NASDAQ,Apple Inc.,AAPL,43.63,83241600
2019-03-06,NASDAQ,Microsoft Corporation,MSFT,111.75,17687000
2019-03-06,NYSE,Berkshire Hathaway Inc.,BRK,301375,100
2019-03-06,NYSE,Johnson & Johnson,JNJ,139.09,6236900
2019-03-07,NASDAQ,Apple Inc.,AAPL,43.13,99185600
2019-03-07,NASDAQ,Microsoft Corporation,MSFT,110.39,25339000
2019-03-07,NYSE,Berkshire Hathaway Inc.,BRK,299050,300
2019-03-07,NYSE,Johnson & Johnson,JNJ,138.24,6100400
2019-03-08,NASDAQ,Apple Inc.,AAPL,43.23,95997600
2019-03-08,NASDAQ,Microsoft Corporation,MSFT,110.51,22818400
2019-03-08,NYSE,Berkshire Hathaway Inc.,BRK,299000,200
2019-03-08,NYSE,Johnson & Johnson,JNJ,138.06,7046700
2019-03-11,NASDAQ,Apple Inc.,AAPL,44.72,128044000
2019-03-11,NASDAQ,Microsoft Corporation,MSFT,112.83,26491600
2019-03-11,NYSE,Berkshire Hathaway Inc.,BRK,303279,200
2019-03-11,NYSE,Johnson & Johnson,JNJ,138.56,6150400
2019-03-12,NASDAQ,Apple Inc.,AAPL,45.23,129870400
2019-03-12,NASDAQ,Microsoft Corporation,MSFT,113.62,26132700
2019-03-12,NYSE,Berkshire Hathaway Inc.,BRK,304235,200
2019-03-12,NYSE,Johnson & Johnson,JNJ,139.18,5552900
2019-03-13,NASDAQ,Apple Inc.,AAPL,45.43,124130000
2019-03-13,NASDAQ,Microsoft Corporation,MSFT,114.5,35513800
2019-03-13,NYSE,Berkshire Hathaway Inc.,BRK,306300,400
2019-03-13,NYSE,Johnson & Johnson,JNJ,139.41,6446900
2019-03-14,NASDAQ,Apple Inc.,AAPL,45.93,94318000
2019-03-14,NASDAQ,Microsoft Corporation,MSFT,114.59,30763400
2019-03-14,NYSE,Berkshire Hathaway Inc.,BRK,305350,100
2019-03-14,NYSE,Johnson & Johnson,JNJ,138.02,8493600
2019-03-15,NASDAQ,Apple Inc.,AAPL,46.53,156171600
2019-03-15,NASDAQ,Microsoft Corporation,MSFT,115.91,54681100
2019-03-15,NYSE,Berkshire Hathaway Inc.,BRK,307250,300
2019-03-15,NYSE,Johnson & Johnson,JNJ,137.6,11922500
2019-03-18,NASDAQ,Apple Inc.,AAPL,47.01,104879200
2019-03-18,NASDAQ,Microsoft Corporation,MSFT,117.57,31207600
2019-03-18,NYSE,Berkshire Hathaway Inc.,BRK,309996,300
2019-03-18,NYSE,Johnson & Johnson,JNJ,137.17,7369600
2019-03-19,NASDAQ,Apple Inc.,AAPL,46.63,126585600
2019-03-19,NASDAQ,Microsoft Corporation,MSFT,117.65,37588700
2019-03-19,NYSE,Berkshire Hathaway Inc.,BRK,307900,200
2019-03-19,NYSE,Johnson & Johnson,JNJ,138.44,5882500
2019-03-20,NASDAQ,Apple Inc.,AAPL,47.04,124140800
2019-03-20,NASDAQ,Microsoft Corporation,MSFT,117.52,28113300
2019-03-20,NYSE,Berkshire Hathaway Inc.,BRK,305505,200
2019-03-20,NYSE,Johnson & Johnson,JNJ,137.29,5475700
2019-03-21,NASDAQ,Apple Inc.,AAPL,48.77,204136800
2019-03-21,NASDAQ,Microsoft Corporation,MSFT,120.22,29854400
2019-03-21,NYSE,Berkshire Hathaway Inc.,BRK,307120,200
2019-03-21,NYSE,Johnson & Johnson,JNJ,138.1,5765100
2019-03-22,NASDAQ,Apple Inc.,AAPL,47.76,169630800
2019-03-22,NASDAQ,Microsoft Corporation,MSFT,117.05,33624500
2019-03-22,NYSE,Berkshire Hathaway Inc.,BRK,301225,300
2019-03-22,NYSE,Johnson & Johnson,JNJ,136.91,6528800
2019-03-25,NASDAQ,Apple Inc.,AAPL,47.19,175381200
2019-03-25,NASDAQ,Microsoft Corporation,MSFT,117.66,27067100
2019-03-25,NYSE,Berkshire Hathaway Inc.,BRK,299380,300
2019-03-25,NYSE,Johnson & Johnson,JNJ,136.61,4500300
2019-03-26,NASDAQ,Apple Inc.,AAPL,46.7,199202000
2019-03-26,NASDAQ,Microsoft Corporation,MSFT,117.91,26097700
2019-03-26,NYSE,Berkshire Hathaway Inc.,BRK,300961,200
2019-03-26,NYSE,Johnson & Johnson,JNJ,138.57,4758600
2019-03-27,NASDAQ,Apple Inc.,AAPL,47.12,119393600
2019-03-27,NASDAQ,Microsoft Corporation,MSFT,116.77,22733400
2019-03-27,NYSE,Berkshire Hathaway Inc.,BRK,299764,300
2019-03-27,NYSE,Johnson & Johnson,JNJ,138.7,6764900
2019-03-28,NASDAQ,Apple Inc.,AAPL,47.18,83121600
2019-03-28,NASDAQ,Microsoft Corporation,MSFT,116.93,18334800
2019-03-28,NYSE,Berkshire Hathaway Inc.,BRK,301250,200
2019-03-28,NYSE,Johnson & Johnson,JNJ,138.88,4602100
2019-03-29,NASDAQ,Apple Inc.,AAPL,47.49,94256000
2019-03-29,NASDAQ,Microsoft Corporation,MSFT,117.94,25399800
2019-03-29,NYSE,Berkshire Hathaway Inc.,BRK,301215,500
2019-03-29,NYSE,Johnson & Johnson,JNJ,139.79,7168400
2019-04-01,NASDAQ,Apple Inc.,AAPL,47.81,111448000
2019-04-01,NASDAQ,Microsoft Corporation,MSFT,119.02,22789100
2019-04-01,NYSE,Berkshire Hathaway Inc.,BRK,307800,400
2019-04-01,NYSE,Johnson & Johnson,JNJ,138.98,5885200
2019-04-02,NASDAQ,Apple Inc.,AAPL,48.51,91062800
2019-04-02,NASDAQ,Microsoft Corporation,MSFT,119.19,18142300
2019-04-02,NYSE,Berkshire Hathaway Inc.,BRK,306000,200
2019-04-02,NYSE,Johnson & Johnson,JNJ,137.71,5517800
2019-04-03,NASDAQ,Apple Inc.,AAPL,48.84,93087200
2019-04-03,NASDAQ,Microsoft Corporation,MSFT,119.97,22860700
2019-04-03,NYSE,Berkshire Hathaway Inc.,BRK,305750,200
2019-04-03,NYSE,Johnson & Johnson,JNJ,137.17,5947000
2019-04-04,NASDAQ,Apple Inc.,AAPL,48.92,76457200
2019-04-04,NASDAQ,Microsoft Corporation,MSFT,119.36,20112800
2019-04-04,NYSE,Berkshire Hathaway Inc.,BRK,306461,300
2019-04-04,NYSE,Johnson & Johnson,JNJ,135.57,5844600
2019-04-05,NASDAQ,Apple Inc.,AAPL,49.25,74106400
2019-04-05,NASDAQ,Microsoft Corporation,MSFT,119.89,15826200
2019-04-05,NYSE,Berkshire Hathaway Inc.,BRK,307776,300
2019-04-05,NYSE,Johnson & Johnson,JNJ,136.18,4759700
2019-04-08,NASDAQ,Apple Inc.,AAPL,50.03,103526800
2019-04-08,NASDAQ,Microsoft Corporation,MSFT,119.93,15116200
2019-04-08,NYSE,Berkshire Hathaway Inc.,BRK,307461,100
2019-04-08,NYSE,Johnson & Johnson,JNJ,136.14,4329600
2019-04-09,NASDAQ,Apple Inc.,AAPL,49.88,143072800
2019-04-09,NASDAQ,Microsoft Corporation,MSFT,119.28,17612000
2019-04-09,NYSE,Berkshire Hathaway Inc.,BRK,307380,100
2019-04-09,NYSE,Johnson & Johnson,JNJ,135.57,5210300
2019-04-10,NASDAQ,Apple Inc.,AAPL,50.15,86781200
2019-04-10,NASDAQ,Microsoft Corporation,MSFT,120.19,16477200
2019-04-10,NYSE,Berkshire Hathaway Inc.,BRK,307000,200
2019-04-10,NYSE,Johnson & Johnson,JNJ,135.58,4194100
2019-04-11,NASDAQ,Apple Inc.,AAPL,49.74,83603200
2019-04-11,NASDAQ,Microsoft Corporation,MSFT,120.33,14209100
2019-04-11,NYSE,Berkshire Hathaway Inc.,BRK,309875,200
2019-04-11,NYSE,Johnson & Johnson,JNJ,135.21,4485200
2019-04-12,NASDAQ,Apple Inc.,AAPL,49.72,111042800
2019-04-12,NASDAQ,Microsoft Corporation,MSFT,120.95,19745100
2019-04-12,NYSE,Berkshire Hathaway Inc.,BRK,314250,200
2019-04-12,NYSE,Johnson & Johnson,JNJ,135.98,5756800
2019-04-15,NASDAQ,Apple Inc.,AAPL,49.81,70146400
2019-04-15,NASDAQ,Microsoft Corporation,MSFT,121.05,15792600
2019-04-15,NYSE,Berkshire Hathaway Inc.,BRK,314500,200
2019-04-15,NYSE,Johnson & Johnson,JNJ,136.52,5380900
2019-04-16,NASDAQ,Apple Inc.,AAPL,49.81,102785600
2019-04-16,NASDAQ,Microsoft Corporation,MSFT,120.77,14071800
2019-04-16,NYSE,Berkshire Hathaway Inc.,BRK,317500,100
2019-04-16,NYSE,Johnson & Johnson,JNJ,138.02,10745700
2019-04-17,NASDAQ,Apple Inc.,AAPL,50.78,115627200
2019-04-17,NASDAQ,Microsoft Corporation,MSFT,121.77,19300900
